16      0       0       16      4127.695936918259
16      1       0       16      4117.568099021912
16      0       1       16      2851.626227617264
16      0       1       32      4103.172293424606
16      1       1       16      2641.518147468567
16      1       1       32      4116.916720628738

32      0       0       16      4012.018434047699
32      1       0       16      3978.5678033828735
32      0       1       16      2292.0420203208923
32      0       1       32      4011.3425028324127
32      1       1       16      2209.1131217479706
32      1       1       32      4002.616890192032

64      0       0       16      3752.756942510605
64      1       0       16      3769.9873483181
64      0       1       16      2090.2771644592285
64      0       1       32      3783.434895515442
64      1       1       16      2010.2745394706726
64      1       1       32      3769.2449543476105
