8	0	0	16	231.30179977416992
8	1	0	16	186.5176396369934
8	0	1	16	328.0283501148224
8	0	1	32	228.74253368377686
8	1	1	16	267.8723666667938
8	1	1	32	192.93607449531555
16	0	0	16	130.13096117973328
16	1	0	16	113.61184287071228
16	0	1	16	180.62725949287415
16	0	1	32	128.45388913154602
16	1	1	16	155.3024764060974
16	1	1	32	114.23064470291138
32	0	0	16	90.25273323059082
32	1	0	16	75.62955904006958
32	0	1	16	117.95764183998108
32	0	1	32	99.30460453033447
32	1	1	16	99.85089087486267
32	1	1	32	76.1868987083435
64	0	0	16	63.782960414886475
64	1	0	16	59.80826115608215
64	0	1	16	79.58164691925049
64	0	1	32	65.07896208763123
64	1	1	16	70.77354216575623
64	1	1	32	56.405214071273804
128	0	0	16	53.395564556121826
128	1	0	16	95.82744288444519
128	0	1	16	97.67201447486877
128	0	1	32	59.010021686553955
128	1	1	16	76.71221613883972
128	1	1	32	62.79145526885986
256	0	0	16	118.22696089744568
256	1	0	16	55.35512161254883
256	0	1	16	78.86036849021912
256	0	1	32	102.30227637290955
256	1	1	16	63.193957805633545
256	1	1	32	59.043314933776855
512	0	0	16	68.78961992263794
512	1	0	16	49.160560846328735
512	0	1	16	59.09443950653076
512	0	1	32	55.794559955596924
512	1	1	16	93.41169571876526
512	1	1	32	65.90760850906372
1024	0	0	16	53.24370336532593
1024	1	0	16	51.88673496246338
1024	0	1	16	65.8148021697998
1024	0	1	32	49.01752805709839
1024	1	1	16	46.02707815170288
1024	1	1	32	49.13928031921387
2048	0	0	16	66.65014362335205
2048	1	0	16	46.71613597869873
2048	0	1	16	47.03655004501343
2048	0	1	32	53.866804122924805
2048	1	1	16	45.24825954437256
2048	1	1	32	46.21144461631775
